feature,perm_importance_mean,perm_importance_std
errorBalanceOrig,0.9827596846019662,0.00041698260361397303
newbalanceOrig,0.959232180680101,0.0009286722130894812
amount_log,0.18346856826812413,0.0011211941188298733
errorBalanceDest,0.09411039189690287,0.004469958077356051
oldbalanceDest,0.05342236846661965,0.002819789006498898
isFlaggedFraud,0.0016630642754558612,0.0002322096355627512
oldbalanceOrg,0.00022511804504548038,2.4985746242910204e-05
type,9.901361913204898e-05,5.152934119197353e-07
newbalanceDest,3.461057777094378e-05,3.78148937336604e-05
amount,3.231896977997639e-05,2.447166549896459e-06
orig_balance_mismatch,0.0,0.0
dest_balance_mismatch,0.0,0.0
hour,0.0,0.0
dest_is_merchant,0.0,0.0
day,0.0,0.0
orig_txn_count,0.0,0.0
orig_mean_amount,0.0,0.0
orig_std_amount,0.0,0.0
dest_txn_count,0.0,0.0
dest_mean_amount,0.0,0.0
dest_std_amount,0.0,0.0
orig_unique_dests,0.0,0.0
